2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Contact Us, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Cover Art Gallery, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:16.9485 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:34.0524 | INFO | LLW_Framework.JournalTest | Checking if element exists Current Issue, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:34.0524 | INFO | LLW_Framework.JournalTest | Checking if element exists Articles & Issues, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:34.0524 | INFO | LLW_Framework.JournalTest | Checking if element exists Previous Issues, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:34.0524 | INFO | LLW_Framework.JournalTest | Checking if element exists Articles & Issues, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Published Ahead-of-Print, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Articles & Issues, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Information for Authors, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists For Authors, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Language Editing Services, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists For Authors, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists About the Journal, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Editorial Board, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Affiliated Society, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Advertising, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Open Access, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Subscription Services, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Reprints, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:34.0534 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
